what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621016129
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1528621027060
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1528621027967
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621031436
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621032128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621032691
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621226872
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1528621237504
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1528621245577
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1528621254639
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1528621254740
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1528621264125
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1528621273962
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1528621273964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1528621278883
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1528621281870
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621299628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621459074
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621478301
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621482822
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1528621492736
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1528621494810
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621512379
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621654311
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621655533
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621689509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621711097
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621739666
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1528621745754
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1528621747614
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1528621765909
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1528621774639
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1528621774722
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1528621781235
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1528621781237
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1528621786297
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621792639
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1528621814226
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1528621827425
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1528621827490
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1528621836554
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1528621840930
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1528621843229
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.navigate.backwardHistory",1528621843231
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1528621847714
