what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524366805447
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524366806989
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524366809032
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524366810655
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524366824024
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1524366825481
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524366835387
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1524366836459
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524366850387
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524366855673
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524366870837
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524366871938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1524366873861
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1524366875562
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524366877628
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524366885544
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1524366886490
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524366886788
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1524366888733
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1524366892969
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524366894138
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524366894210
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524366931397
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1524366932221
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1524366936955
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524366938537
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524366944139
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524366994726
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524366998433
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524366998433
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524367007804
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1524367008343
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367014364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367024144
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367034130
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524367038089
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367045862
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1524367045876
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524367047047
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524367047119
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1524367057291
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524367058736
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524367059598
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1524367060268
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367065937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367078318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1524367090692
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524367092130
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524367092938
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524367098851
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1524367102988
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524367105964
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1524367107388
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524367108600
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524367114597
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1524367115378
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524367118993
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524367128339
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1524367129572
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367130380
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367137188
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367138642
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367144219
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1524367146571
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.performTextSearchWorkspace",1524367146591
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524367160073
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524367163618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367178522
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367178973
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367180099
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367181165
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367183033
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367183945
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367185859
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367187797
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367194462
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367224600
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524367237983
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367279170
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367345523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367382029
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367450076
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367451253
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367533582
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524367549490
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367588745
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367590125
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524367593658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524368084910
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524368088035
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524368092006
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524368142624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524368424974
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524368437194
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524368711741
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1524368727757
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524368728525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1524368738022
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524368762819
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524368830134
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524368857559
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524368921181
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1524368952061
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.toggleOverwrite",1524368957804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524368960301
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1524368970285
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1524368970422
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1524368970435
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524368971649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524368995231
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1524368997766
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524369006004
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1524369007983
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524369008054
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524369021018
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524369030419
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524369031592
closed,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524369034925
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524369035444
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1524369040156
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524369044554
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524369044622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524369074602
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524369099576
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1524369102226
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524369109306
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524369109376
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524369112649
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524369151624
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1524369166853
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524369166906
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1524369166968
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524369173719
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1524369181009
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1524369195300
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1524369196935
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524369211803
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1524369216800
