what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"zh_CN",1525998195192
processors,sysinfo,,,"4",1525998195192
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1525998195192
java.runtime.version,sysinfo,,,"1.7.0-b147",1525998195192
java.specification.name,sysinfo,,,"Java Platform API Specification",1525998195192
java.specification.vendor,sysinfo,,,"Oracle Corporation",1525998195192
java.specification.version,sysinfo,,,"1.7",1525998195192
java.vendor,sysinfo,,,"Oracle Corporation",1525998195192
java.version,sysinfo,,,"1.7.0",1525998195192
java.vm.info,sysinfo,,,"mixed mode",1525998195192
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1525998195192
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1525998195192
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1525998195192
java.vm.specification.version,sysinfo,,,"1.7",1525998195192
java.vm.vendor,sysinfo,,,"Oracle Corporation",1525998195192
java.vm.version,sysinfo,,,"21.0-b17",1525998195192
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1525998195390
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1525998195718
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1525998196057
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1525998196869
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1525998196896
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1525998197184
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1525998197367
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1525998197399
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1525998198983
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1525998199034
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525998199198
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525998203753
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525998741881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525998741917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000097378
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000466961
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000467394
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000467719
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000467908
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000468095
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000468269
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000468454
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000468651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000469075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000469283
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000469485
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000469683
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000470070
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000470731
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000471021
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000471096
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526000471301
started,bundle,org.eclipse.linuxtools.cdt.libhover,1.0.3.201101251503,"org.eclipse.linuxtools.cdt.libhover",1526000475024
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526001557741
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526001778881
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526001945363
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526001945682
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526002571293
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526002642397
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526002644700
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526002956607
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1526003290497
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1526003300802
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1526003300868
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1526003374509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526003381270
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526003383977
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526003385733
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526003419416
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1526003436615
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1526003438110
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526003440335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1526003453325
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.properties",1526003453375
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1526003539888
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1526003552952
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1526003556387
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1526003558188
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1526003562670
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1526003566772
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1526003569756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1526003579912
opened,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1526003645805
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1526003645826
executed,command,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.performTextSearchWorkspace",1526003645972
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1526003653795
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1526003658891
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1526003659178
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1526003661653
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1526003663244
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1526003664295
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1526003664634
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1526003666004
opened,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1526003666319
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1526003666389
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1526003681781
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1526003682018
activated,view,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search.ui.views.SearchView",1526003687690
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1526003688053
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1526003909713
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1526003929077
