what,kind,bundleId,bundleVersion,description,time
locale,sysinfo,,,"zh_CN",1527690137041
processors,sysinfo,,,"4",1527690137041
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1527690137041
java.runtime.version,sysinfo,,,"1.7.0-b147",1527690137041
java.specification.name,sysinfo,,,"Java Platform API Specification",1527690137041
java.specification.vendor,sysinfo,,,"Oracle Corporation",1527690137041
java.specification.version,sysinfo,,,"1.7",1527690137041
java.vendor,sysinfo,,,"Oracle Corporation",1527690137041
java.version,sysinfo,,,"1.7.0",1527690137041
java.vm.info,sysinfo,,,"mixed mode",1527690137041
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1527690137041
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1527690137041
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1527690137041
java.vm.specification.version,sysinfo,,,"1.7",1527690137041
java.vm.vendor,sysinfo,,,"Oracle Corporation",1527690137041
java.vm.version,sysinfo,,,"21.0-b17",1527690137041
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1527690137145
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1527690137562
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1527690137609
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1527690137826
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1527690137832
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1527690137833
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1527690137855
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1527690138458
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1527690138574
activated,perspective,org.eclipse.cdt.ui,,"org.eclipse.cdt.ui.CPerspective",1528124343191
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1528124343192
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1528124343216
