what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525156650544
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525156654128
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525157166364
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1525157169439
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1525157173351
executed,command,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.edit.opendecl",1525157175380
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1525157175476
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1525157213272
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525157226824
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525157244168
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1525157246815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525157250115
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525157250729
activated,editor,org.eclipse.cdt.ui,5.2.2.201102110609,"org.eclipse.cdt.ui.editor.CEditor",1525157289144
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.cut",1525157303698
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1525157306997
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1525157307860
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1525157343618
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525157346335
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525157349840
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAll",1525157357331
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525157378403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1525157662733
